Kind_of_Business,period,value
All other gen. merchandise stores,2021-02-01,6346.0
All other gen. merchandise stores,2021-01-01,6748.0
All other home furnishings stores,2021-02-01,0.0
All other home furnishings stores,2021-01-01,0.0
Automobile and other motor vehicle dealers,2021-02-01,95324.0
Automobile and other motor vehicle dealers,2021-01-01,96537.0
Automobile dealers,2021-02-01,88477.0
Automobile dealers,2021-01-01,90463.0
"Automotive parts, acc., and tire stores",2021-02-01,7520.0
"Automotive parts, acc., and tire stores",2021-01-01,7718.0
"Beer, wine, and liquor stores",2021-02-01,4974.0
"Beer, wine, and liquor stores",2021-01-01,5087.0
Book stores,2021-02-01,458.0
Book stores,2021-01-01,820.0
Building mat. and garden equip. and supplies dealers,2021-02-01,29581.0
Building mat. and garden equip. and supplies dealers,2021-01-01,31229.0
Building mat. and supplies dealers,2021-02-01,25613.0
Building mat. and supplies dealers,2021-01-01,27143.0
Clothing and clothing access. stores,2021-02-01,16592.0
Clothing and clothing access. stores,2021-01-01,15740.0
Clothing stores,2021-02-01,10683.0
Clothing stores,2021-01-01,10568.0
Department stores,2021-02-01,7881.0
Department stores,2021-01-01,8327.0
Department stores(excl. discount department stores),2021-02-01,1495.0
Department stores(excl. discount department stores),2021-01-01,1273.0
Discount dept. stores,2021-02-01,6386.0
Discount dept. stores,2021-01-01,7054.0
Drinking places,2021-02-01,0.0
Drinking places,2021-01-01,0.0
Electronic shopping and mail-order houses,2021-02-01,64683.0
Electronic shopping and mail-order houses,2021-01-01,69830.0
Electronics and appliance stores,2021-02-01,6275.0
Electronics and appliance stores,2021-01-01,7066.0
Electronics stores,2021-02-01,4780.0
Electronics stores,2021-01-01,5435.0
Family clothing stores,2021-02-01,5920.0
Family clothing stores,2021-01-01,5903.0
Floor covering stores,2021-02-01,0.0
Floor covering stores,2021-01-01,0.0
Food and beverage stores,2021-02-01,65894.0
Food and beverage stores,2021-01-01,71726.0
Food services and drinking places,2021-02-01,50475.0
Food services and drinking places,2021-01-01,52757.0
Fuel dealers,2021-02-01,4423.0
Fuel dealers,2021-01-01,4115.0
Full service restaurants,2021-02-01,0.0
Full service restaurants,2021-01-01,0.0
Furniture and home furnishings stores,2021-02-01,10019.0
Furniture and home furnishings stores,2021-01-01,10707.0
Furniture stores,2021-02-01,5691.0
Furniture stores,2021-01-01,6099.0
"Furniture, home furn, electronics, and appliance stores",2021-02-01,16294.0
"Furniture, home furn, electronics, and appliance stores",2021-01-01,17773.0
Gasoline stations,2021-02-01,36284.0
Gasoline stations,2021-01-01,37214.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2021-02-01,95130.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2021-01-01,102333.0
General merchandise stores,2021-02-01,54183.0
General merchandise stores,2021-01-01,59643.0
"Gift, novelty, and souvenir stores",2021-02-01,889.0
"Gift, novelty, and souvenir stores",2021-01-01,871.0
Grocery stores,2021-02-01,59076.0
Grocery stores,2021-01-01,64785.0
Hardware stores,2021-02-01,2203.0
Hardware stores,2021-01-01,2352.0
Health and personal care stores,2021-02-01,27775.0
Health and personal care stores,2021-01-01,29509.0
"Hobby, toy, and game stores",2021-02-01,1444.0
"Hobby, toy, and game stores",2021-01-01,1646.0
Home furnishings stores,2021-02-01,0.0
Home furnishings stores,2021-01-01,0.0
Household appliance stores,2021-02-01,1495.0
Household appliance stores,2021-01-01,1631.0
Jewelry stores,2021-02-01,3405.0
Jewelry stores,2021-01-01,2640.0
Limited service eating places,2021-02-01,25819.0
Limited service eating places,2021-01-01,28457.0
Men's clothing stores,2021-02-01,353.0
Men's clothing stores,2021-01-01,349.0
Miscellaneous store retailers,2021-02-01,10508.0
Miscellaneous store retailers,2021-01-01,11175.0
Motor vehicle and parts dealers,2021-02-01,102844.0
Motor vehicle and parts dealers,2021-01-01,104255.0
New car dealers,2021-02-01,77192.0
New car dealers,2021-01-01,79954.0
Nonstore retailers,2021-02-01,73818.0
Nonstore retailers,2021-01-01,78677.0
Office supplies and stationery stores,2021-02-01,763.0
Office supplies and stationery stores,2021-01-01,885.0
"Office supplies, stationery, and gift stores",2021-02-01,1652.0
"Office supplies, stationery, and gift stores",2021-01-01,1756.0
Other clothing stores,2021-02-01,1187.0
Other clothing stores,2021-01-01,1184.0
Other general merchandise stores,2021-02-01,46302.0
Other general merchandise stores,2021-01-01,51316.0
Paint and wallpaper stores,2021-02-01,895.0
Paint and wallpaper stores,2021-01-01,923.0
Pharmacies and drug stores,2021-02-01,23752.0
Pharmacies and drug stores,2021-01-01,25420.0
Restaurants and other eating places,2021-02-01,46299.0
Restaurants and other eating places,2021-01-01,49022.0
"Retail and food services sales, total",2021-02-01,490657.0
"Retail and food services sales, total",2021-02-01,559893.0
"Retail and food services sales, total",2021-01-01,517119.0
"Retail and food services sales, total",2021-01-01,576466.0
Retail sales and food services excl gasoline stations,2021-02-01,454373.0
Retail sales and food services excl gasoline stations,2021-01-01,479905.0
Retail sales and food services excl motor vehicle and parts,2021-02-01,387813.0
Retail sales and food services excl motor vehicle and parts,2021-02-01,444097.0
Retail sales and food services excl motor vehicle and parts,2021-01-01,412864.0
Retail sales and food services excl motor vehicle and parts,2021-01-01,456387.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2021-02-01,351529.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2021-01-01,375650.0
"Retail sales, total",2021-02-01,440182.0
"Retail sales, total",2021-01-01,464362.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2021-02-01,337338.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2021-01-01,360107.0
Shoe stores,2021-02-01,2172.0
Shoe stores,2021-01-01,2213.0
Sporting goods stores,2021-02-01,3819.0
Sporting goods stores,2021-01-01,4150.0
"Sporting goods, hobby, musical instrument, and book stores",2021-02-01,6409.0
"Sporting goods, hobby, musical instrument, and book stores",2021-01-01,7421.0
Supermarkets and other grocery (except convenience) stores,2021-02-01,56547.0
Supermarkets and other grocery (except convenience) stores,2021-01-01,62085.0
Used car dealers,2021-02-01,11285.0
Used car dealers,2021-01-01,10509.0
Used merchandise stores,2021-02-01,1341.0
Used merchandise stores,2021-01-01,1385.0
Warehouse clubs and superstores,2021-02-01,39956.0
Warehouse clubs and superstores,2021-01-01,44568.0
Women's clothing stores,2021-02-01,2069.0
Women's clothing stores,2021-01-01,2043.0
All other gen. merchandise stores,2020-04-01,7313.0
All other gen. merchandise stores,2020-08-01,7345.0
All other gen. merchandise stores,2020-12-01,9252.0
All other gen. merchandise stores,2020-02-01,6078.0
All other gen. merchandise stores,2020-01-01,5913.0
All other gen. merchandise stores,2020-07-01,7584.0
All other gen. merchandise stores,2020-06-01,7839.0
All other gen. merchandise stores,2020-03-01,7727.0
All other gen. merchandise stores,2020-05-01,8326.0
All other gen. merchandise stores,2020-11-01,7985.0
All other gen. merchandise stores,2020-10-01,7756.0
All other gen. merchandise stores,2020-09-01,7292.0
All other home furnishings stores,2020-04-01,403.0
All other home furnishings stores,2020-08-01,2647.0
All other home furnishings stores,2020-12-01,0.0
All other home furnishings stores,2020-02-01,2211.0
All other home furnishings stores,2020-01-01,2422.0
All other home furnishings stores,2020-07-01,2440.0
All other home furnishings stores,2020-06-01,2102.0
All other home furnishings stores,2020-03-01,1525.0
All other home furnishings stores,2020-05-01,1276.0
All other home furnishings stores,2020-11-01,0.0
All other home furnishings stores,2020-10-01,0.0
All other home furnishings stores,2020-09-01,2506.0
Automobile and other motor vehicle dealers,2020-04-01,62554.0
Automobile and other motor vehicle dealers,2020-08-01,106956.0
Automobile and other motor vehicle dealers,2020-12-01,108612.0
Automobile and other motor vehicle dealers,2020-02-01,90586.0
Automobile and other motor vehicle dealers,2020-01-01,85832.0
Automobile and other motor vehicle dealers,2020-07-01,107082.0
Automobile and other motor vehicle dealers,2020-06-01,104941.0
Automobile and other motor vehicle dealers,2020-03-01,74904.0
Automobile and other motor vehicle dealers,2020-05-01,98852.0
Automobile and other motor vehicle dealers,2020-11-01,95304.0
Automobile and other motor vehicle dealers,2020-10-01,105948.0
Automobile and other motor vehicle dealers,2020-09-01,104451.0
Automobile dealers,2020-04-01,56635.0
Automobile dealers,2020-08-01,98206.0
Automobile dealers,2020-12-01,101956.0
Automobile dealers,2020-02-01,85140.0
Automobile dealers,2020-01-01,81214.0
Automobile dealers,2020-07-01,97104.0
Automobile dealers,2020-06-01,93559.0
Automobile dealers,2020-03-01,68937.0
Automobile dealers,2020-05-01,88480.0
Automobile dealers,2020-11-01,89223.0
Automobile dealers,2020-10-01,98478.0
Automobile dealers,2020-09-01,96980.0
"Automotive parts, acc., and tire stores",2020-04-01,6980.0
"Automotive parts, acc., and tire stores",2020-08-01,8972.0
"Automotive parts, acc., and tire stores",2020-12-01,7880.0
"Automotive parts, acc., and tire stores",2020-02-01,7242.0
"Automotive parts, acc., and tire stores",2020-01-01,7535.0
"Automotive parts, acc., and tire stores",2020-07-01,9151.0
"Automotive parts, acc., and tire stores",2020-06-01,9287.0
"Automotive parts, acc., and tire stores",2020-03-01,7483.0
"Automotive parts, acc., and tire stores",2020-05-01,8510.0
"Automotive parts, acc., and tire stores",2020-11-01,7916.0
"Automotive parts, acc., and tire stores",2020-10-01,8731.0
"Automotive parts, acc., and tire stores",2020-09-01,8607.0
"Beer, wine, and liquor stores",2020-04-01,4938.0
"Beer, wine, and liquor stores",2020-08-01,5813.0
"Beer, wine, and liquor stores",2020-12-01,7366.0
"Beer, wine, and liquor stores",2020-02-01,4318.0
"Beer, wine, and liquor stores",2020-01-01,4188.0
"Beer, wine, and liquor stores",2020-07-01,6106.0
"Beer, wine, and liquor stores",2020-06-01,5780.0
"Beer, wine, and liquor stores",2020-03-01,5249.0
"Beer, wine, and liquor stores",2020-05-01,5950.0
"Beer, wine, and liquor stores",2020-11-01,5796.0
"Beer, wine, and liquor stores",2020-10-01,5766.0
"Beer, wine, and liquor stores",2020-09-01,5582.0
Book stores,2020-04-01,169.0
Book stores,2020-08-01,770.0
Book stores,2020-12-01,900.0
Book stores,2020-02-01,593.0
Book stores,2020-01-01,990.0
Book stores,2020-07-01,437.0
Book stores,2020-06-01,388.0
Book stores,2020-03-01,406.0
Book stores,2020-05-01,275.0
Book stores,2020-11-01,496.0
Book stores,2020-10-01,455.0
Book stores,2020-09-01,620.0
Building mat. and garden equip. and supplies dealers,2020-04-01,35916.0
Building mat. and garden equip. and supplies dealers,2020-08-01,36664.0
Building mat. and garden equip. and supplies dealers,2020-12-01,34524.0
Building mat. and garden equip. and supplies dealers,2020-02-01,26237.0
Building mat. and garden equip. and supplies dealers,2020-01-01,26966.0
Building mat. and garden equip. and supplies dealers,2020-07-01,39430.0
Building mat. and garden equip. and supplies dealers,2020-06-01,42092.0
Building mat. and garden equip. and supplies dealers,2020-03-01,32152.0
Building mat. and garden equip. and supplies dealers,2020-05-01,42422.0
Building mat. and garden equip. and supplies dealers,2020-11-01,34662.0
Building mat. and garden equip. and supplies dealers,2020-10-01,37582.0
Building mat. and garden equip. and supplies dealers,2020-09-01,36930.0
Building mat. and supplies dealers,2020-04-01,30023.0
Building mat. and supplies dealers,2020-08-01,32612.0
Building mat. and supplies dealers,2020-12-01,30123.0
Building mat. and supplies dealers,2020-02-01,23025.0
Building mat. and supplies dealers,2020-01-01,23709.0
Building mat. and supplies dealers,2020-07-01,34870.0
Building mat. and supplies dealers,2020-06-01,36397.0
Building mat. and supplies dealers,2020-03-01,27984.0
Building mat. and supplies dealers,2020-05-01,35986.0
Building mat. and supplies dealers,2020-11-01,30633.0
Building mat. and supplies dealers,2020-10-01,33018.0
Building mat. and supplies dealers,2020-09-01,32647.0
Clothing and clothing access. stores,2020-04-01,2744.0
Clothing and clothing access. stores,2020-08-01,18968.0
Clothing and clothing access. stores,2020-12-01,32237.0
Clothing and clothing access. stores,2020-02-01,19232.0
Clothing and clothing access. stores,2020-01-01,16873.0
Clothing and clothing access. stores,2020-07-01,17779.0
Clothing and clothing access. stores,2020-06-01,16442.0
Clothing and clothing access. stores,2020-03-01,10969.0
Clothing and clothing access. stores,2020-05-01,8787.0
Clothing and clothing access. stores,2020-11-01,21287.0
Clothing and clothing access. stores,2020-10-01,20088.0
Clothing and clothing access. stores,2020-09-01,18790.0
Clothing stores,2020-04-01,1736.0
Clothing stores,2020-08-01,12933.0
Clothing stores,2020-12-01,19983.0
Clothing stores,2020-02-01,13439.0
Clothing stores,2020-01-01,12287.0
Clothing stores,2020-07-01,12098.0
Clothing stores,2020-06-01,11080.0
Clothing stores,2020-03-01,7584.0
Clothing stores,2020-05-01,5504.0
Clothing stores,2020-11-01,15038.0
Clothing stores,2020-10-01,14165.0
Clothing stores,2020-09-01,12912.0
Department stores,2020-04-01,5941.0
Department stores,2020-08-01,9879.0
Department stores,2020-12-01,14624.0
Department stores,2020-02-01,9067.0
Department stores,2020-01-01,8479.0
Department stores,2020-07-01,9384.0
Department stores,2020-06-01,9047.0
Department stores,2020-03-01,8158.0
Department stores,2020-05-01,8768.0
Department stores,2020-11-01,11235.0
Department stores,2020-10-01,9733.0
Department stores,2020-09-01,9182.0
Department stores(excl. discount department stores),2020-04-01,11.0
Department stores(excl. discount department stores),2020-08-01,1739.0
Department stores(excl. discount department stores),2020-12-01,3492.0
Department stores(excl. discount department stores),2020-02-01,2473.0
Department stores(excl. discount department stores),2020-01-01,2146.0
Department stores(excl. discount department stores),2020-07-01,1591.0
Department stores(excl. discount department stores),2020-06-01,1524.0
Department stores(excl. discount department stores),2020-03-01,1305.0
Department stores(excl. discount department stores),2020-05-01,1049.0
Department stores(excl. discount department stores),2020-11-01,2357.0
Department stores(excl. discount department stores),2020-10-01,1913.0
Department stores(excl. discount department stores),2020-09-01,1786.0
Discount dept. stores,2020-04-01,5930.0
Discount dept. stores,2020-08-01,8140.0
Discount dept. stores,2020-12-01,11132.0
Discount dept. stores,2020-02-01,6594.0
Discount dept. stores,2020-01-01,6333.0
Discount dept. stores,2020-07-01,7793.0
Discount dept. stores,2020-06-01,7523.0
Discount dept. stores,2020-03-01,6853.0
Discount dept. stores,2020-05-01,7719.0
Discount dept. stores,2020-11-01,8878.0
Discount dept. stores,2020-10-01,7820.0
Discount dept. stores,2020-09-01,7396.0
Drinking places,2020-04-01,0.0
Drinking places,2020-08-01,0.0
Drinking places,2020-12-01,0.0
Drinking places,2020-02-01,0.0
Drinking places,2020-01-01,0.0
Drinking places,2020-07-01,0.0
Drinking places,2020-06-01,0.0
Drinking places,2020-03-01,0.0
Drinking places,2020-05-01,0.0
Drinking places,2020-11-01,0.0
Drinking places,2020-10-01,0.0
Drinking places,2020-09-01,0.0
Electronic shopping and mail-order houses,2020-04-01,67339.0
Electronic shopping and mail-order houses,2020-08-01,70505.0
Electronic shopping and mail-order houses,2020-12-01,96203.0
Electronic shopping and mail-order houses,2020-02-01,50716.0
Electronic shopping and mail-order houses,2020-01-01,53485.0
Electronic shopping and mail-order houses,2020-07-01,72123.0
Electronic shopping and mail-order houses,2020-06-01,69954.0
Electronic shopping and mail-order houses,2020-03-01,58622.0
Electronic shopping and mail-order houses,2020-05-01,72558.0
Electronic shopping and mail-order houses,2020-11-01,83769.0
Electronic shopping and mail-order houses,2020-10-01,73023.0
Electronic shopping and mail-order houses,2020-09-01,68425.0
Electronics and appliance stores,2020-04-01,3040.0
Electronics and appliance stores,2020-08-01,6839.0
Electronics and appliance stores,2020-12-01,9484.0
Electronics and appliance stores,2020-02-01,6687.0
Electronics and appliance stores,2020-01-01,7079.0
Electronics and appliance stores,2020-07-01,6555.0
Electronics and appliance stores,2020-06-01,5608.0
Electronics and appliance stores,2020-03-01,5816.0
Electronics and appliance stores,2020-05-01,3952.0
Electronics and appliance stores,2020-11-01,8296.0
Electronics and appliance stores,2020-10-01,6865.0
Electronics and appliance stores,2020-09-01,6459.0
Electronics stores,2020-04-01,1912.0
Electronics stores,2020-08-01,5092.0
Electronics stores,2020-12-01,7721.0
Electronics stores,2020-02-01,5453.0
Electronics stores,2020-01-01,5849.0
Electronics stores,2020-07-01,4824.0
Electronics stores,2020-06-01,3927.0
Electronics stores,2020-03-01,4533.0
Electronics stores,2020-05-01,2511.0
Electronics stores,2020-11-01,6591.0
Electronics stores,2020-10-01,5143.0
Electronics stores,2020-09-01,4794.0
Family clothing stores,2020-04-01,688.0
Family clothing stores,2020-08-01,7768.0
Family clothing stores,2020-12-01,12137.0
Family clothing stores,2020-02-01,7535.0
Family clothing stores,2020-01-01,6899.0
Family clothing stores,2020-07-01,7077.0
Family clothing stores,2020-06-01,6955.0
Family clothing stores,2020-03-01,4259.0
Family clothing stores,2020-05-01,3089.0
Family clothing stores,2020-11-01,8976.0
Family clothing stores,2020-10-01,8520.0
Family clothing stores,2020-09-01,7561.0
Floor covering stores,2020-04-01,0.0
Floor covering stores,2020-08-01,0.0
Floor covering stores,2020-12-01,0.0
Floor covering stores,2020-02-01,0.0
Floor covering stores,2020-01-01,0.0
Floor covering stores,2020-07-01,0.0
Floor covering stores,2020-06-01,0.0
Floor covering stores,2020-03-01,0.0
Floor covering stores,2020-05-01,0.0
Floor covering stores,2020-11-01,0.0
Floor covering stores,2020-10-01,0.0
Floor covering stores,2020-09-01,0.0
Food and beverage stores,2020-04-01,71064.0
Food and beverage stores,2020-08-01,72353.0
Food and beverage stores,2020-12-01,77260.0
Food and beverage stores,2020-02-01,61962.0
Food and beverage stores,2020-01-01,64567.0
Food and beverage stores,2020-07-01,75085.0
Food and beverage stores,2020-06-01,71799.0
Food and beverage stores,2020-03-01,80990.0
Food and beverage stores,2020-05-01,76438.0
Food and beverage stores,2020-11-01,71879.0
Food and beverage stores,2020-10-01,71957.0
Food and beverage stores,2020-09-01,69741.0
Food services and drinking places,2020-04-01,30017.0
Food services and drinking places,2020-08-01,56358.0
Food services and drinking places,2020-12-01,51497.0
Food services and drinking places,2020-02-01,62956.0
Food services and drinking places,2020-01-01,61567.0
Food services and drinking places,2020-07-01,54511.0
Food services and drinking places,2020-06-01,51473.0
Food services and drinking places,2020-03-01,47740.0
Food services and drinking places,2020-05-01,42321.0
Food services and drinking places,2020-11-01,50911.0
Food services and drinking places,2020-10-01,57392.0
Food services and drinking places,2020-09-01,54740.0
Fuel dealers,2020-04-01,2069.0
Fuel dealers,2020-08-01,1630.0
Fuel dealers,2020-12-01,3723.0
Fuel dealers,2020-02-01,3565.0
Fuel dealers,2020-01-01,4240.0
Fuel dealers,2020-07-01,1603.0
Fuel dealers,2020-06-01,1577.0
Fuel dealers,2020-03-01,3016.0
Fuel dealers,2020-05-01,1741.0
Fuel dealers,2020-11-01,2563.0
Fuel dealers,2020-10-01,2262.0
Fuel dealers,2020-09-01,1885.0
Full service restaurants,2020-04-01,0.0
Full service restaurants,2020-08-01,0.0
Full service restaurants,2020-12-01,0.0
Full service restaurants,2020-02-01,0.0
Full service restaurants,2020-01-01,27018.0
Full service restaurants,2020-07-01,0.0
Full service restaurants,2020-06-01,0.0
Full service restaurants,2020-03-01,0.0
Full service restaurants,2020-05-01,0.0
Full service restaurants,2020-11-01,0.0
Full service restaurants,2020-10-01,0.0
Full service restaurants,2020-09-01,0.0
Furniture and home furnishings stores,2020-04-01,3977.0
Furniture and home furnishings stores,2020-08-01,11017.0
Furniture and home furnishings stores,2020-12-01,12129.0
Furniture and home furnishings stores,2020-02-01,9452.0
Furniture and home furnishings stores,2020-01-01,9490.0
Furniture and home furnishings stores,2020-07-01,10625.0
Furniture and home furnishings stores,2020-06-01,9993.0
Furniture and home furnishings stores,2020-03-01,8159.0
Furniture and home furnishings stores,2020-05-01,7349.0
Furniture and home furnishings stores,2020-11-01,11187.0
Furniture and home furnishings stores,2020-10-01,11114.0
Furniture and home furnishings stores,2020-09-01,11071.0
Furniture stores,2020-04-01,2004.0
Furniture stores,2020-08-01,5847.0
Furniture stores,2020-12-01,6153.0
Furniture stores,2020-02-01,5287.0
Furniture stores,2020-01-01,5148.0
Furniture stores,2020-07-01,5957.0
Furniture stores,2020-06-01,5730.0
Furniture stores,2020-03-01,4499.0
Furniture stores,2020-05-01,4259.0
Furniture stores,2020-11-01,5894.0
Furniture stores,2020-10-01,6053.0
Furniture stores,2020-09-01,6112.0
"Furniture, home furn, electronics, and appliance stores",2020-04-01,7017.0
"Furniture, home furn, electronics, and appliance stores",2020-08-01,17856.0
"Furniture, home furn, electronics, and appliance stores",2020-12-01,21613.0
"Furniture, home furn, electronics, and appliance stores",2020-02-01,16139.0
"Furniture, home furn, electronics, and appliance stores",2020-01-01,16569.0
"Furniture, home furn, electronics, and appliance stores",2020-07-01,17180.0
"Furniture, home furn, electronics, and appliance stores",2020-06-01,15601.0
"Furniture, home furn, electronics, and appliance stores",2020-03-01,13975.0
"Furniture, home furn, electronics, and appliance stores",2020-05-01,11301.0
"Furniture, home furn, electronics, and appliance stores",2020-11-01,19483.0
"Furniture, home furn, electronics, and appliance stores",2020-10-01,17979.0
"Furniture, home furn, electronics, and appliance stores",2020-09-01,17530.0
Gasoline stations,2020-04-01,26810.0
Gasoline stations,2020-08-01,38730.0
Gasoline stations,2020-12-01,36635.0
Gasoline stations,2020-02-01,36963.0
Gasoline stations,2020-01-01,39696.0
Gasoline stations,2020-07-01,38876.0
Gasoline stations,2020-06-01,36314.0
Gasoline stations,2020-03-01,34261.0
Gasoline stations,2020-05-01,32045.0
Gasoline stations,2020-11-01,34394.0
Gasoline stations,2020-10-01,38161.0
Gasoline stations,2020-09-01,37231.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-04-01,68637.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-08-01,109556.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-12-01,144871.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-02-01,97552.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-01-01,94549.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-07-01,106664.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-06-01,102574.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-03-01,95501.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-05-01,91042.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-11-01,117962.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-10-01,111528.0
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2020-09-01,104834.0
General merchandise stores,2020-04-01,54576.0
General merchandise stores,2020-08-01,62304.0
General merchandise stores,2020-12-01,77086.0
General merchandise stores,2020-02-01,54596.0
General merchandise stores,2020-01-01,53203.0
General merchandise stores,2020-07-01,61674.0
General merchandise stores,2020-06-01,60501.0
General merchandise stores,2020-03-01,63624.0
General merchandise stores,2020-05-01,63381.0
General merchandise stores,2020-11-01,66964.0
General merchandise stores,2020-10-01,63203.0
General merchandise stores,2020-09-01,58567.0
"Gift, novelty, and souvenir stores",2020-04-01,211.0
"Gift, novelty, and souvenir stores",2020-08-01,1105.0
"Gift, novelty, and souvenir stores",2020-12-01,1704.0
"Gift, novelty, and souvenir stores",2020-02-01,1137.0
"Gift, novelty, and souvenir stores",2020-01-01,1074.0
"Gift, novelty, and souvenir stores",2020-07-01,1151.0
"Gift, novelty, and souvenir stores",2020-06-01,860.0
"Gift, novelty, and souvenir stores",2020-03-01,778.0
"Gift, novelty, and souvenir stores",2020-05-01,513.0
"Gift, novelty, and souvenir stores",2020-11-01,1136.0
"Gift, novelty, and souvenir stores",2020-10-01,1801.0
"Gift, novelty, and souvenir stores",2020-09-01,1185.0
Grocery stores,2020-04-01,64383.0
Grocery stores,2020-08-01,64500.0
Grocery stores,2020-12-01,67027.0
Grocery stores,2020-02-01,55870.0
Grocery stores,2020-01-01,58722.0
Grocery stores,2020-07-01,66892.0
Grocery stores,2020-06-01,63973.0
Grocery stores,2020-03-01,73901.0
Grocery stores,2020-05-01,68436.0
Grocery stores,2020-11-01,63920.0
Grocery stores,2020-10-01,64017.0
Grocery stores,2020-09-01,62100.0
Hardware stores,2020-04-01,2839.0
Hardware stores,2020-08-01,2891.0
Hardware stores,2020-12-01,2795.0
Hardware stores,2020-02-01,1954.0
Hardware stores,2020-01-01,2059.0
Hardware stores,2020-07-01,3028.0
Hardware stores,2020-06-01,3350.0
Hardware stores,2020-03-01,2372.0
Hardware stores,2020-05-01,3495.0
Hardware stores,2020-11-01,2553.0
Hardware stores,2020-10-01,2763.0
Hardware stores,2020-09-01,2760.0
Health and personal care stores,2020-04-01,25724.0
Health and personal care stores,2020-08-01,28918.0
Health and personal care stores,2020-12-01,33670.0
Health and personal care stores,2020-02-01,27756.0
Health and personal care stores,2020-01-01,28987.0
Health and personal care stores,2020-07-01,29573.0
Health and personal care stores,2020-06-01,28279.0
Health and personal care stores,2020-03-01,30888.0
Health and personal care stores,2020-05-01,26251.0
Health and personal care stores,2020-11-01,28575.0
Health and personal care stores,2020-10-01,30630.0
Health and personal care stores,2020-09-01,29462.0
"Hobby, toy, and game stores",2020-04-01,360.0
"Hobby, toy, and game stores",2020-08-01,1508.0
"Hobby, toy, and game stores",2020-12-01,2617.0
"Hobby, toy, and game stores",2020-02-01,1200.0
"Hobby, toy, and game stores",2020-01-01,1174.0
"Hobby, toy, and game stores",2020-07-01,1409.0
"Hobby, toy, and game stores",2020-06-01,1420.0
"Hobby, toy, and game stores",2020-03-01,862.0
"Hobby, toy, and game stores",2020-05-01,1120.0
"Hobby, toy, and game stores",2020-11-01,2412.0
"Hobby, toy, and game stores",2020-10-01,1674.0
"Hobby, toy, and game stores",2020-09-01,1582.0
Home furnishings stores,2020-04-01,1973.0
Home furnishings stores,2020-08-01,5170.0
Home furnishings stores,2020-12-01,0.0
Home furnishings stores,2020-02-01,4165.0
Home furnishings stores,2020-01-01,4342.0
Home furnishings stores,2020-07-01,4668.0
Home furnishings stores,2020-06-01,4263.0
Home furnishings stores,2020-03-01,3660.0
Home furnishings stores,2020-05-01,3090.0
Home furnishings stores,2020-11-01,0.0
Home furnishings stores,2020-10-01,0.0
Home furnishings stores,2020-09-01,4959.0
Household appliance stores,2020-04-01,1128.0
Household appliance stores,2020-08-01,1747.0
Household appliance stores,2020-12-01,1763.0
Household appliance stores,2020-02-01,1234.0
Household appliance stores,2020-01-01,1230.0
Household appliance stores,2020-07-01,1731.0
Household appliance stores,2020-06-01,1681.0
Household appliance stores,2020-03-01,1283.0
Household appliance stores,2020-05-01,1441.0
Household appliance stores,2020-11-01,1705.0
Household appliance stores,2020-10-01,1722.0
Household appliance stores,2020-09-01,1665.0
Jewelry stores,2020-04-01,511.0
Jewelry stores,2020-08-01,2877.0
Jewelry stores,2020-12-01,7824.0
Jewelry stores,2020-02-01,2751.0
Jewelry stores,2020-01-01,2141.0
Jewelry stores,2020-07-01,2679.0
Jewelry stores,2020-06-01,2452.0
Jewelry stores,2020-03-01,1505.0
Jewelry stores,2020-05-01,1557.0
Jewelry stores,2020-11-01,3245.0
Jewelry stores,2020-10-01,2872.0
Jewelry stores,2020-09-01,2882.0
Limited service eating places,2020-04-01,20001.0
Limited service eating places,2020-08-01,30013.0
Limited service eating places,2020-12-01,28640.0
Limited service eating places,2020-02-01,27062.0
Limited service eating places,2020-01-01,27113.0
Limited service eating places,2020-07-01,30214.0
Limited service eating places,2020-06-01,28789.0
Limited service eating places,2020-03-01,24159.0
Limited service eating places,2020-05-01,26498.0
Limited service eating places,2020-11-01,27249.0
Limited service eating places,2020-10-01,29950.0
Limited service eating places,2020-09-01,28743.0
Men's clothing stores,2020-04-01,86.0
Men's clothing stores,2020-08-01,379.0
Men's clothing stores,2020-12-01,604.0
Men's clothing stores,2020-02-01,615.0
